Method,File_name,File_size,Chunks_sent,Transmission_time,Energy_for_transmission,Compression_encryption_time,Energy_for_compression_encryption
VAE,0001v,1016,5,5.02,1.56,9.35,3.91
VAE,0002v,1016,5,5.02,1.52,9.74,4.01
VAE,0003v,1016,5,5.02,1.53,10.11,4.37
VAE,0004v,1016,5,5.02,1.55,9.09,3.83
VAE,0005v,1017,5,5.02,1.55,8.97,3.83
VAE,0006v,1015,5,5.02,1.55,9.05,3.83
VAE,0007v,1016,5,5.02,1.53,9.20,3.87
VAE,0008v,1015,5,5.02,1.53,9.27,3.93
VAE,0009v,1014,5,5.03,1.54,9.09,3.87
VAE,0010v,1016,5,5.02,1.56,8.99,3.87
VAE,0011v,1016,5,5.03,1.55,9.17,3.90
VAE,0012v,1017,5,5.03,1.55,9.34,3.96
VAE,0013v,1016,5,5.03,1.58,9.12,3.88
VAE,0014v,1017,5,5.03,1.58,9.06,3.89
VAE,0015v,1015,5,5.03,1.58,9.84,4.18
VAE,0016v,1016,5,5.03,1.56,9.29,3.96
VAE,0017v,1016,5,5.02,1.54,9.43,4.01
VAE,0018v,1015,5,5.03,1.58,8.94,3.85
VAE,0019v,1016,5,5.03,1.58,8.94,3.82
VAE,0020v,1015,5,5.03,1.55,9.47,4.02
VAE,0021v,1017,5,5.03,1.55,9.16,3.92
VAE,0022v,1016,5,5.03,1.57,9.37,4.00
VAE,0023v,1015,5,5.03,1.59,8.95,3.84
VAE,0024v,1016,5,5.03,1.56,9.37,3.99
VAE,0025v,1017,5,5.03,1.57,9.44,4.01
VAE,0026v,1015,5,5.04,1.59,9.19,3.91
VAE,0027v,1018,5,5.03,1.59,8.97,3.85
VAE,0028v,1017,5,5.03,1.57,9.61,4.06
VAE,0029v,1017,5,5.03,1.55,9.35,3.99
VAE,0030v,1015,5,5.03,1.56,9.34,3.99
VAE,0031v,1016,5,5.03,1.59,9.09,3.90
VAE,0032v,1017,5,5.03,1.57,9.36,3.99
VAE,0033v,1017,5,5.04,1.58,9.60,4.09
VAE,0034v,1015,5,5.05,1.60,9.41,3.99
VAE,0035v,1015,5,5.04,1.60,9.11,3.89
VAE,0036v,1014,5,5.06,1.60,9.35,3.97
VAE,0037v,1015,5,5.04,1.56,9.48,4.04
VAE,0038v,1016,5,5.05,1.57,9.59,4.09
VAE,0039v,1017,5,5.03,1.58,9.04,3.90
VAE,0040v,1015,5,5.04,1.58,9.40,4.01
VAE,0041v,1018,5,5.04,1.59,9.51,4.03
VAE,0042v,1017,5,5.04,1.58,9.35,3.98
VAE,0043v,1015,5,5.03,1.58,9.34,4.01
