Method,File_name,File_size,Chunks_sent,Transmission_time,Energy_for_transmission,Compression_encryption_time,Energy_for_compression_encryption
VAE,0001v,1016,5,5.02,1.46,12.85,4.70
VAE,0002v,1017,5,5.02,1.47,8.87,3.47
VAE,0003v,1016,5,5.02,1.45,9.23,3.61
VAE,0004v,1016,5,5.02,1.45,9.30,3.63
VAE,0005v,1017,5,5.02,1.46,9.10,3.55
VAE,0006v,1016,5,5.02,1.47,8.82,3.48
VAE,0007v,1016,5,5.02,1.48,8.97,3.52
VAE,0008v,1015,5,5.02,1.46,9.16,3.59
VAE,0009v,1017,5,5.02,1.46,9.34,3.65
VAE,0010v,1017,5,5.02,1.48,9.11,3.57
VAE,0011v,1016,5,5.02,1.48,8.96,3.54
VAE,0012v,1017,5,5.02,1.46,9.30,3.65
VAE,0013v,1016,5,5.02,1.46,9.23,3.63
VAE,0014v,1017,5,5.02,1.48,9.33,3.66
VAE,0015v,1017,5,5.03,1.48,8.83,3.49
VAE,0016v,1016,5,5.02,1.46,9.51,3.73
VAE,0017v,1015,5,5.02,1.47,9.29,3.65
VAE,0018v,1017,5,5.02,1.47,9.36,3.69
VAE,0019v,1016,5,5.02,1.49,8.93,3.55
VAE,0020v,1018,5,5.04,1.52,12.50,5.01
VAE,0021v,1015,5,5.03,1.48,9.17,3.62
VAE,0022v,1018,5,5.03,1.49,9.05,3.59
VAE,0023v,1017,5,5.03,1.48,11.92,4.66
VAE,0024v,1016,5,5.04,1.49,9.27,3.66
VAE,0025v,1017,5,5.03,1.50,9.30,3.68
VAE,0026v,1018,5,5.03,1.50,9.19,3.65
VAE,0027v,1017,5,5.03,1.48,9.26,3.68
VAE,0028v,1015,5,5.03,1.48,9.40,3.72
VAE,0029v,1015,5,5.03,1.52,9.22,3.67
VAE,0030v,1016,5,5.03,1.50,9.04,3.61
VAE,0031v,1016,5,5.04,1.49,9.46,3.76
VAE,0032v,1017,5,5.02,1.48,9.37,3.74
VAE,0033v,1017,5,5.04,1.50,9.41,3.76
VAE,0034v,1017,5,5.04,1.52,9.06,3.65
VAE,0035v,1017,5,5.03,1.49,9.54,3.84
VAE,0036v,1016,5,5.03,1.50,9.39,3.79
VAE,0037v,1016,5,5.03,1.51,9.38,3.78
VAE,0038v,1015,5,5.03,1.52,9.18,3.72
VAE,0039v,1016,5,5.03,1.49,9.45,3.81
VAE,0040v,1017,5,5.04,1.50,9.45,3.81
VAE,0041v,1016,5,5.04,1.51,9.33,3.77
VAE,0042v,1016,5,5.03,1.52,9.06,3.71
VAE,0043v,1015,5,5.05,1.51,9.59,3.87
VAE,0044v,1016,5,5.03,1.49,9.43,3.81
VAE,0045v,1016,5,5.04,1.51,9.47,3.81
VAE,0046v,1016,5,5.03,1.53,8.99,3.65
VAE,0047v,1017,5,5.04,1.50,9.46,3.78
VAE,0048v,1016,5,5.05,1.50,9.50,3.83
VAE,0049v,1015,5,5.04,1.51,9.30,3.76
VAE,0050v,1015,5,5.05,1.53,9.28,3.77
VAE,0051v,1016,5,5.03,1.51,9.66,3.88
VAE,0052v,1017,5,5.04,1.50,9.45,3.81
VAE,0053v,1016,5,5.03,1.50,9.50,3.83
VAE,0054v,1016,5,5.04,1.53,9.02,3.67
VAE,0055v,1016,5,5.03,1.49,9.35,3.78
VAE,0056v,1017,5,5.03,1.50,9.52,3.85
VAE,0057v,1016,5,5.03,1.50,9.38,3.79
VAE,0058v,1016,5,5.03,1.51,9.13,3.73
VAE,0059v,1016,5,5.03,1.52,9.22,3.75
VAE,0060v,1017,5,5.03,1.49,9.38,3.79
VAE,0061v,1017,5,5.03,1.49,9.51,3.85
VAE,0062v,1017,5,5.03,1.51,9.07,3.69
VAE,0063v,1015,5,5.03,1.51,9.21,3.73
VAE,0064v,1016,5,5.03,1.49,9.42,3.79
VAE,0065v,1017,5,5.04,1.50,9.43,3.81
VAE,0066v,1016,5,5.04,1.53,9.17,3.73
VAE,0067v,1016,5,5.03,1.51,9.09,3.68
VAE,0068v,1016,5,5.03,1.49,9.60,3.85
VAE,0069v,1017,5,5.03,1.50,9.28,3.74
VAE,0070v,1016,5,5.04,1.51,9.33,3.76
VAE,0071v,1017,5,5.03,1.51,9.17,3.70
VAE,0072v,1016,5,5.03,1.49,9.42,3.79
VAE,0073v,1015,5,5.03,1.49,9.49,3.81
VAE,0074v,1015,5,5.03,1.51,9.58,3.84
VAE,0075v,1016,5,5.03,1.51,9.00,3.64
VAE,0076v,1016,5,5.03,1.49,9.54,3.83
VAE,0077v,1015,5,5.04,1.49,9.47,3.80
VAE,0078v,1015,5,5.03,1.51,9.27,3.73
VAE,0079v,1015,5,5.03,1.51,9.14,3.69
VAE,0080v,1015,5,5.03,1.50,9.50,3.81
VAE,0081v,1015,5,5.03,1.49,9.30,3.75
VAE,0082v,1016,5,5.03,1.50,9.48,3.80
VAE,0083v,1017,5,5.04,1.51,9.09,3.65
VAE,0084v,1016,5,5.04,1.49,9.65,3.86
VAE,0085v,1016,5,5.03,1.48,9.39,3.77
VAE,0086v,1017,5,5.03,1.50,9.40,3.77
VAE,0087v,1017,5,5.03,1.52,8.99,3.65
VAE,0088v,1016,5,5.03,1.50,9.30,3.74
VAE,0089v,1016,5,5.04,1.49,9.73,3.89
VAE,0090v,1016,5,5.03,1.50,9.31,3.75
VAE,0091v,1015,5,5.04,1.52,9.23,3.75
VAE,0092v,1017,5,5.03,1.50,9.42,3.79
VAE,0093v,1016,5,5.04,1.50,9.46,3.81
VAE,0094v,1017,5,5.04,1.50,9.56,3.84
VAE,0095v,1016,5,5.04,1.51,9.16,3.69
VAE,0096v,1015,5,5.04,1.50,9.69,3.88
VAE,0097v,1015,5,5.04,1.51,9.33,3.76
VAE,0098v,1016,5,5.04,1.50,9.40,3.78
VAE,0099v,1017,5,5.03,1.51,9.26,3.74
VAE,0100v,1015,5,5.04,1.50,9.63,3.85
ChaCha20,0101c,1033,5,5.02,1.51,9.10,3.67
ChaCha20,0102c,1033,5,5.02,1.50,8.73,3.55
ChaCha20,0103c,1032,5,5.02,1.48,9.28,3.75
ChaCha20,0104c,1031,5,5.02,1.47,9.20,3.70
ChaCha20,0105c,1032,5,5.02,1.49,9.12,3.68
ChaCha20,0106c,1032,5,5.02,1.50,8.85,3.57
ChaCha20,0107c,1032,5,5.02,1.48,9.23,3.71
ChaCha20,0108c,1031,5,5.02,1.49,9.18,3.68
ChaCha20,0109c,1031,5,5.02,1.48,9.11,3.67
ChaCha20,0110c,1034,5,5.03,1.51,9.09,3.68
ChaCha20,0111c,1032,5,5.02,1.50,8.86,3.59
ChaCha20,0112c,1033,5,5.03,1.48,9.37,3.77
ChaCha20,0113c,1031,5,5.02,1.49,9.23,3.70
ChaCha20,0114c,1032,5,5.04,1.51,9.22,3.70
ChaCha20,0115c,1032,5,5.02,1.51,8.99,3.64
ChaCha20,0116c,1032,5,5.02,1.49,9.26,3.72
ChaCha20,0117c,1031,5,5.02,1.48,9.13,3.67
ChaCha20,0118c,1032,5,5.02,1.50,9.34,3.75
ChaCha20,0119c,1031,5,5.02,1.51,8.94,3.62
ChaCha20,0120c,1033,5,5.02,1.48,9.58,3.83
ChaCha20,0121c,1031,5,5.03,1.49,9.46,3.79
ChaCha20,0122c,1030,5,5.03,1.50,9.25,3.71
ChaCha20,0123c,1032,5,5.03,1.51,9.09,3.68
ChaCha20,0124c,1034,5,5.03,1.50,9.35,3.76
ChaCha20,0125c,1031,5,5.03,1.49,9.30,3.75
ChaCha20,0126c,1033,5,5.03,1.50,9.50,3.80
ChaCha20,0127c,1032,5,5.03,1.51,8.95,3.63
ChaCha20,0128c,1033,5,5.03,1.49,9.41,3.76
ChaCha20,0129c,1033,5,5.03,1.50,9.41,3.77
ChaCha20,0130c,1033,5,5.03,1.50,9.27,3.73
ChaCha20,0131c,1032,5,5.03,1.51,9.22,3.73
ChaCha20,0132c,1031,5,5.04,1.50,9.34,3.75
ChaCha20,0133c,1034,5,5.03,1.49,9.49,3.80
ChaCha20,0134c,1032,5,5.03,1.49,9.23,3.72
ChaCha20,0135c,1033,5,5.03,1.51,9.21,3.72
ChaCha20,0136c,1032,5,5.03,1.52,9.04,3.65
ChaCha20,0137c,1031,5,5.03,1.49,9.25,3.72
ChaCha20,0138c,1032,5,5.03,1.50,9.16,3.69
ChaCha20,0139c,1032,5,5.03,1.51,9.16,3.69
ChaCha20,0140c,1032,5,5.03,1.51,9.18,3.70
ChaCha20,0141c,1031,5,5.03,1.49,9.48,3.80
ChaCha20,0142c,1031,5,5.03,1.49,9.45,3.79
ChaCha20,0143c,1033,5,5.03,1.50,9.27,3.73
ChaCha20,0144c,1032,5,5.03,1.51,9.05,3.67
ChaCha20,0145c,1032,5,5.03,1.49,9.63,3.84
ChaCha20,0146c,1031,5,5.03,1.49,9.30,3.74
ChaCha20,0147c,1031,5,5.03,1.50,9.42,3.78
ChaCha20,0148c,1033,5,5.03,1.52,8.96,3.63
ChaCha20,0149c,1033,5,5.03,1.49,9.37,3.76
ChaCha20,0150c,1031,5,5.03,1.49,9.60,3.84
ChaCha20,0151c,1032,5,5.03,1.51,9.36,3.76
ChaCha20,0152c,1033,5,5.03,1.51,9.04,3.66
ChaCha20,0153c,1032,5,5.03,1.49,9.57,3.82
ChaCha20,0154c,1032,5,5.03,1.49,9.30,3.75
ChaCha20,0155c,1033,5,5.03,1.49,9.36,3.76
ChaCha20,0156c,1033,5,5.03,1.52,9.19,3.72
ChaCha20,0157c,1033,5,5.03,1.51,8.93,3.61
ChaCha20,0158c,1031,5,5.04,1.49,9.43,3.80
ChaCha20,0159c,1032,5,5.04,1.49,9.32,3.74
ChaCha20,0160c,1032,5,5.03,1.51,9.35,3.77
ChaCha20,0161c,1033,5,5.04,1.53,8.94,3.62
ChaCha20,0162c,1034,5,5.03,1.50,9.46,3.80
ChaCha20,0163c,1031,5,5.03,1.49,9.49,3.82
ChaCha20,0164c,1032,5,5.04,1.51,9.21,3.72
ChaCha20,0165c,1033,5,5.04,1.51,9.11,3.69
ChaCha20,0166c,1031,5,5.02,1.49,9.44,3.79
ChaCha20,0167c,1032,5,5.04,1.49,9.37,3.78
ChaCha20,0168c,1032,5,5.04,1.52,9.25,3.74
ChaCha20,0169c,1032,5,5.03,1.51,8.95,3.63
ChaCha20,0170c,1033,5,5.02,1.49,9.43,3.79
ChaCha20,0171c,1031,5,5.03,1.50,9.32,3.75
ChaCha20,0172c,1032,5,5.03,1.49,9.13,3.69
ChaCha20,0173c,1033,5,5.03,1.51,9.13,3.70
ChaCha20,0174c,1032,5,5.03,1.52,8.91,3.61
ChaCha20,0175c,1032,5,5.03,1.49,9.25,3.72
ChaCha20,0176c,1032,5,5.03,1.49,9.36,3.77
ChaCha20,0177c,1033,5,5.03,1.52,9.10,3.68
ChaCha20,0178c,1033,5,5.04,1.51,8.89,3.60
ChaCha20,0179c,1033,5,5.03,1.49,9.53,3.82
ChaCha20,0180c,1032,5,5.03,1.49,9.32,3.76
ChaCha20,0181c,1034,5,5.04,1.51,9.45,3.78
ChaCha20,0182c,1033,5,5.04,1.53,8.98,3.63
ChaCha20,0183c,1033,5,5.03,1.49,9.49,3.80
ChaCha20,0184c,1033,5,5.04,1.50,9.32,3.75
ChaCha20,0185c,1033,5,5.03,1.50,9.29,3.75
ChaCha20,0186c,1032,5,5.04,1.51,9.16,3.71
ChaCha20,0187c,1033,5,5.04,1.50,9.37,3.76
ChaCha20,0188c,1034,5,5.04,1.50,9.42,3.80
ChaCha20,0189c,1031,5,5.03,1.51,9.32,3.76
ChaCha20,0190c,1033,5,5.03,1.51,9.01,3.66
ChaCha20,0191c,1032,5,5.03,1.52,8.85,3.59
ChaCha20,0192c,1031,5,5.03,1.48,9.16,3.70
ChaCha20,0193c,1032,5,5.02,1.49,9.34,3.77
ChaCha20,0194c,1031,5,5.02,1.51,9.25,3.72
ChaCha20,0195c,1031,5,5.03,1.51,9.03,3.66
ChaCha20,0196c,1033,5,5.03,1.51,9.41,3.80
ChaCha20,0197c,1033,5,5.03,1.50,9.30,3.78
ChaCha20,0198c,1032,5,5.03,1.51,9.37,3.80
ChaCha20,0199c,1033,5,5.04,1.54,8.98,3.68
ChaCha20,0200c,1032,5,5.03,1.50,9.38,3.81
CRYSTALS-Kyber,0201q,1031,5,9.04,2.68,9.08,3.69
CRYSTALS-Kyber,0201t,768,4,0,0,0,0
CRYSTALS-Kyber,0202q,1033,5,9.04,2.68,9.13,3.69
CRYSTALS-Kyber,0202t,768,4,0,0,0,0
CRYSTALS-Kyber,0203q,1032,5,9.04,2.71,8.77,3.57
CRYSTALS-Kyber,0203t,768,4,0,0,0,0
CRYSTALS-Kyber,0204q,1033,5,9.04,2.70,9.05,3.67
CRYSTALS-Kyber,0204t,768,4,0,0,0,0
CRYSTALS-Kyber,0205q,1032,5,9.04,2.68,8.95,3.62
CRYSTALS-Kyber,0205t,768,4,0,0,0,0
CRYSTALS-Kyber,0206q,1032,5,9.05,2.69,9.25,3.74
CRYSTALS-Kyber,0206t,768,4,0,0,0,0
CRYSTALS-Kyber,0207q,1031,5,9.04,2.68,9.17,3.72
CRYSTALS-Kyber,0207t,768,4,0,0,0,0
CRYSTALS-Kyber,0208q,1032,5,9.05,2.70,9.01,3.65
CRYSTALS-Kyber,0208t,768,4,0,0,0,0
CRYSTALS-Kyber,0209q,1030,5,9.05,2.69,9.22,3.72
CRYSTALS-Kyber,0209t,768,4,0,0,0,0
CRYSTALS-Kyber,0210q,1032,5,9.05,2.69,9.01,3.65
CRYSTALS-Kyber,0210t,768,4,0,0,0,0
CRYSTALS-Kyber,0211q,1032,5,9.05,2.69,9.31,3.75
CRYSTALS-Kyber,0211t,768,4,0,0,0,0
CRYSTALS-Kyber,0212q,1033,5,9.05,2.67,9.52,3.83
CRYSTALS-Kyber,0212t,768,4,0,0,0,0
CRYSTALS-Kyber,0213q,1032,5,9.04,2.69,8.97,3.63
CRYSTALS-Kyber,0213t,768,4,0,0,0,0
CRYSTALS-Kyber,0214q,1033,5,9.04,2.69,9.20,3.70
CRYSTALS-Kyber,0214t,768,4,0,0,0,0
CRYSTALS-Kyber,0215q,1034,5,9.04,2.69,8.90,3.60
CRYSTALS-Kyber,0215t,768,4,0,0,0,0
CRYSTALS-Kyber,0216q,1031,5,9.05,2.70,9.29,3.74
CRYSTALS-Kyber,0216t,768,4,0,0,0,0
CRYSTALS-Kyber,0217q,1032,5,9.05,2.69,9.04,3.67
CRYSTALS-Kyber,0217t,768,4,0,0,0,0
CRYSTALS-Kyber,0218q,1031,5,9.04,2.69,9.09,3.67
CRYSTALS-Kyber,0218t,768,4,0,0,0,0
CRYSTALS-Kyber,0219q,1033,5,9.04,2.65,9.25,3.71
CRYSTALS-Kyber,0219t,768,4,0,0,0,0
CRYSTALS-Kyber,0220q,1032,5,9.04,2.68,8.99,3.65
CRYSTALS-Kyber,0220t,768,4,0,0,0,0
CRYSTALS-Kyber,0221q,1033,5,9.04,2.68,9.37,3.77
CRYSTALS-Kyber,0221t,768,4,0,0,0,0
CRYSTALS-Kyber,0222q,1031,5,9.04,2.70,8.88,3.59
CRYSTALS-Kyber,0222t,768,4,0,0,0,0
CRYSTALS-Kyber,0223q,1033,5,9.04,2.69,9.26,3.72
CRYSTALS-Kyber,0223t,768,4,0,0,0,0
CRYSTALS-Kyber,0224q,1032,5,9.05,2.67,9.36,3.76
CRYSTALS-Kyber,0224t,768,4,0,0,0,0
CRYSTALS-Kyber,0225q,1032,5,9.04,2.69,9.32,3.75
CRYSTALS-Kyber,0225t,768,4,0,0,0,0
CRYSTALS-Kyber,0226q,1030,5,9.04,2.68,9.21,3.72
CRYSTALS-Kyber,0226t,768,4,0,0,0,0
CRYSTALS-Kyber,0227q,1032,5,9.05,2.68,8.75,3.57
CRYSTALS-Kyber,0227t,768,4,0,0,0,0
CRYSTALS-Kyber,0228q,1031,5,9.04,2.68,9.13,3.69
CRYSTALS-Kyber,0228t,768,4,0,0,0,0
CRYSTALS-Kyber,0229q,1032,5,9.04,2.68,8.94,3.61
CRYSTALS-Kyber,0229t,768,4,0,0,0,0
CRYSTALS-Kyber,0230q,1033,5,9.05,2.71,9.13,3.68
CRYSTALS-Kyber,0230t,768,4,0,0,0,0
CRYSTALS-Kyber,0231q,1032,5,9.04,2.67,9.28,3.73
CRYSTALS-Kyber,0231t,768,4,0,0,0,0
CRYSTALS-Kyber,0232q,1032,5,9.04,2.68,9.09,3.67
CRYSTALS-Kyber,0232t,768,4,0,0,0,0
CRYSTALS-Kyber,0233q,1032,5,9.05,2.68,9.33,3.76
CRYSTALS-Kyber,0233t,768,4,0,0,0,0
CRYSTALS-Kyber,0234q,1032,5,9.05,2.70,9.03,3.66
CRYSTALS-Kyber,0234t,768,4,0,0,0,0
CRYSTALS-Kyber,0235q,1033,5,9.04,2.70,9.23,3.72
CRYSTALS-Kyber,0235t,768,4,0,0,0,0
CRYSTALS-Kyber,0236q,1033,5,9.04,2.70,8.95,3.61
CRYSTALS-Kyber,0236t,768,4,0,0,0,0
CRYSTALS-Kyber,0237q,1032,5,9.05,2.69,9.25,3.73
CRYSTALS-Kyber,0237t,768,4,0,0,0,0
CRYSTALS-Kyber,0238q,1031,5,9.04,2.66,9.36,3.77
CRYSTALS-Kyber,0238t,768,4,0,0,0,0
CRYSTALS-Kyber,0239q,1034,5,9.05,2.69,9.23,3.73
CRYSTALS-Kyber,0239t,768,4,0,0,0,0
CRYSTALS-Kyber,0240q,1033,5,9.05,2.70,9.24,3.71
CRYSTALS-Kyber,0240t,768,4,0,0,0,0
CRYSTALS-Kyber,0241q,1032,5,9.05,2.70,8.87,3.59
CRYSTALS-Kyber,0241t,768,4,0,0,0,0
CRYSTALS-Kyber,0242q,1031,5,9.05,2.69,9.16,3.70
CRYSTALS-Kyber,0242t,768,4,0,0,0,0
CRYSTALS-Kyber,0243q,1032,5,9.04,2.68,9.25,3.73
CRYSTALS-Kyber,0243t,768,4,0,0,0,0
CRYSTALS-Kyber,0244q,1032,5,9.04,2.70,9.04,3.65
CRYSTALS-Kyber,0244t,768,4,0,0,0,0
CRYSTALS-Kyber,0245q,1033,5,9.04,2.68,9.25,3.72
CRYSTALS-Kyber,0245t,768,4,0,0,0,0
CRYSTALS-Kyber,0246q,1031,5,9.04,2.68,8.86,3.60
CRYSTALS-Kyber,0246t,768,4,0,0,0,0
CRYSTALS-Kyber,0247q,1033,5,9.05,2.69,9.42,3.78
CRYSTALS-Kyber,0247t,768,4,0,0,0,0
CRYSTALS-Kyber,0248q,1031,5,9.05,2.71,8.83,3.58
CRYSTALS-Kyber,0248t,768,4,0,0,0,0
CRYSTALS-Kyber,0249q,1031,5,9.05,2.70,9.24,3.71
CRYSTALS-Kyber,0249t,768,4,0,0,0,0
CRYSTALS-Kyber,0250q,1031,5,9.05,2.68,9.02,3.64
CRYSTALS-Kyber,0250t,768,4,0,0,0,0
CRYSTALS-Kyber,0251q,1033,5,9.04,2.68,9.27,3.73
CRYSTALS-Kyber,0251t,768,4,0,0,0,0
CRYSTALS-Kyber,0252q,1032,5,9.04,2.67,9.41,3.77
CRYSTALS-Kyber,0252t,768,4,0,0,0,0
